"Pop","Species","SPAD","L_Aarea","L_Amass","L_Con","L_Ci","L_iWUE","L_NightRespArea","L_NightRespmass","LA","L_Peri","L_Circ","LS","LMA","L_FreshMass","L_DryMass","LWC","LDMC","L_MidribT","L_LaminaT","L_Tough","L_life","LN","LD15C","LPNUE","LC","LD13C","LCN","LP","Leaf_N_P","L_VeinD","L_T_activity","LTD","L_LipidC","L_AshC","WPTB","WPBMF","WPSMF","WPLMF","WPRMF","WPFB","WPFF","FPFM","FDFM","FRFM","FTFM","FPDM","FDDM","FRDM","FTDM","FPWC","FDWC","FRWC","FTWC","P_D","P_T","D_T","R_T","FRL","FRW","FDD","FDC","FTD","FTC","FTA","FDA","FPA","FRN","FPD","FAIR","FPAF","FDAF"
"SCW","H_agrestis",36.3,27.2698142328215,734.940171529493,1.81739042265615,353.724648961723,15.0049289865665,-1.1989690736135,-27.1354984336863,59.022,43.349,0.395,0.958,37.1048083765376,1.819,0.219,7.30593607305936,0.120395821880154,1,0.31,150.666806723135,90,3.71,0.94,19809.7081274796,40.63,-31.29,10.9514824797844,0.2411,15.3878058896723,6.215903865,0.237970509474185,27,4.255319149,19.9646643109548,172.9663,0.0643264034670337,0.769282802488115,0.117768605791995,0.0486221882528562,248,282,0.34025,0.76775,0.31865,1.42665,0.043,0.0929,0.02645,0.16235,6.91279069767442,7.26426264800861,11.047258979206,7.78749615029258,0.46286329386437,0.264859870649831,0.572220511241146,0.162919618109024,2.85,1.55,1.5,4.71238898038469,7.2,22.6194671058465,40.7150407905237,1.76714586764426,38.9478949228795,12.5,2.65258238486492,22.04,0.956597222222222,0.0434027777777778
"SCW","H_agrestis",41.6,35.0511827667921,833.489813584368,1.99488871142845,345.99381297387,17.5704953193572,-1.17008959241875,-26.4706775345585,45.775,41.566,0.333,0.963,42.0535226652103,1.5262,0.1925,6.92831168831169,0.126130258157515,1.14,0.35,144.300603622157,97.5,4.69,-0.19,17771.6378162978,40.66,-30.15,8.66950959488273,0.2744,17.0918367346939,7.37492435565823,0.714396440707618,20,3.531598513,19.2857142857153,157.0372,0.0541094721505478,0.744855359112363,0.134363068113797,0.0666721006232918,255,296,0.25555,0.2785,0.0887,0.62275,0.0403,0.06115,0.0178,0.11925,5.34119106699752,3.55437448896157,3.98314606741573,4.22222222222222,0.65903515944399,0.337945492662474,0.512788259958071,0.149266247379455,2.9,0.95,1.25,3.92699081698724,7.05,22.148228207808,39.0362522162617,1.22718463030851,37.8090675859532,14,3.56507072525846,30.8096,0.968562949549821,0.0314370504501786
"BAS","H_angustifolius",33.5,30.3733414370349,578.058741798483,0.971557405053364,340.928638268572,31.2625288830633,-1.15532945702272,-21.9879756619387,8.983,41.616,0.065,0.859,52.5436936435489,0.3978,0.0472,7.42796610169491,0.118652589240825,1.12,0.22,106.103385016292,148.5,3.41,1.18,16951.8692609526,41.86,-31.33,12.2756598240469,0.4298,7.93392275476966,7.049872581,2.80766306249585,85,5.529953917,10.7344632768359,138.4601,0.208178384964333,0.586545149107938,0.151200237469134,0.0540762284585957,233,284,0.18615,0.37345,0.10885,0.66845,0.0261,0.05415,0.01825,0.0985,6.13218390804598,5.89658356417359,4.96438356164384,5.78629441624365,0.481994459833795,0.26497461928934,0.549746192893401,0.185279187817259,2.25,0.6,1.3,4.08407044966673,5.8,18.2212373908208,26.4207942166902,1.32732289614169,25.0934713205485,15.5,3.7952332583452,18.905325443787,0.949762187871581,0.0502378121284185
"BAS","H_angustifolius",45,36.5282390721479,693.560991658723,1.60241259175996,341.730299286601,22.7957763562181,-1.64975483350526,-31.3238641495894,23.335,53.896,0.101,0.627,52.6676665952432,0.9635,0.1229,6.83970707892596,0.12755578619616,1.34,0.28,137.93440052118,128.971045735815,3.35,0.93,20703.3131838425,37.22,-30.54,11.110447761194,0.3482,9.62090752441126,10.38426807,1.86248770493658,95,3.432494279,16.0439560439555,189.5239,0.207649800368186,0.561422068667857,0.174985846112285,0.0559422848516731,241,282,0.403,0.4564,0.1104,0.9698,0.0488,0.09595,0.0206,0.16535,7.25819672131148,3.75664408546118,4.35922330097087,4.86513456304808,0.508598228243877,0.295131539159359,0.580284245539764,0.124584215300877,3.95,0.85,1.55,4.86946861306418,9.45,29.6880505764235,70.1380194868006,1.88691908756237,68.2511003992383,15,3.08041825339152,36.1706555671176,0.973097057753142,0.0269029422468576
"BAS","H_angustifolius",34,36.02490833663,550.772567662086,1.02715824251689,325.360541145499,35.0724034968135,-1.60647207714744,-24.5608050557697,8.898,45.556,0.054,0.491,65.4079568442347,0.466,0.0582,7.00687285223368,0.124892703862661,1.23,0.35,157.033009824112,142,3.18,1.97,17319.8920648455,41.29,-30.05,12.9842767295597,0.3595,8.84561891515995,9.679577877,2.53013758507527,72,8.965517241,13.2478632478629,166.5209,0.284442373299688,0.451970893743668,0.216037746613188,0.047548986343456,241,284,0.3482,0.4295,0.1219,0.8996,0.046,0.0903,0.02145,0.15775,6.5695652173913,3.75636766334441,4.68298368298368,4.7026941362916,0.509413067552602,0.291600633914422,0.572424722662441,0.135974643423138,2.95,1,1.45,4.5553093477052,7.35,23.090706003885,42.4291722821387,1.65129963854314,40.7778726435955,14.5,3.18309886183791,24.6944114149822,0.961081031051876,0.0389189689481235
"BAS","H_angustifolius",33.8,28.2204645366762,668.0652277817,0.842605582422633,309.452073199415,33.4919031221436,-0.997312978000184,-23.6094668445813,16.003,51.424,0.076,0.514,42.2420796100731,0.6746,0.0676,8.9792899408284,0.100207530388378,1.15,0.75,120.957858918573,165.5,4.44,-0.86,15046.5141392275,40.33,-30.33,9.08333333333333,0.4039,10.9928200049517,6.265381495,2.52183745936706,50,4.504504505,14.3730886850143,208.2868,0.249707614692818,0.558976372962665,0.154201322407373,0.0371146899371444,239,279,0.294366126855675,0.461352977929367,0.173784689959529,0.929503794744572,0.0431384112237231,0.100290734519246,0.031485368660215,0.174945829872717,5.9051362646261,3.61442336190876,4.43796252105169,4.28436214681332,0.439016896442145,0.244661033816382,0.575134644382531,0.18020432053838,2.78436400978984,0.814469070798068,1.36482925565877,4.28773756298201,6.93355727523846,21.7824125991332,39.3367587804183,1.51798885652286,37.8187699238954,14.5968015305717,3.49760587842021,26.6540366608301,0.958291154205221,0.0417088445363664
"BAS","H_angustifolius",31,27.616435217661,434.120607472327,0.872692851091271,330.758001971048,31.6450801483336,-1.16622469457672,-23.1600083777918,7.121,39.38,0.058,0.393,63.6146608622384,0.3351,0.0453,6.39735099337748,0.135183527305282,0.77,0.34,144.300603622157,169.5,2.93,2.05,14816.4029854036,41.69,-30.88,14.2286689419795,0.2643,11.0858872493379,5.166689664,5.43570958872859,49,4.24084124103394,10.3189493433388,202.9696,0.192696837358895,0.550037049883332,0.205252412183894,0.052013700573879,243,279,0.278585277576637,0.428306847076739,0.155181622030352,0.862073746683728,0.0409198167864907,0.096132344285332,0.0296882934927853,0.166992564641909,5.86398107109128,3.55191913153201,4.27677737036365,4.21327772202088,0.439321763793106,0.24510426600375,0.577353373498269,0.177542359248495,2.81593007477844,0.794349990976381,1.34165958177056,4.21494788570876,6.97351973132745,21.9079583576018,39.7529741832806,1.45684105576848,38.2961331275122,14.2903944903584,3.47808172062414,28.1479751046754,0.959629107898798,0.0403708908562906
"BAS","H_angustifolius",30.4,41.020196989136,537.657581964747,1.53697508172818,336.509345901349,26.6889147890497,-1.21283267715643,-23.8860705977825,6.606,49.17,0.034,0.226,76.2942779291553,0.4341,0.0504,7.61309523809524,0.116102280580511,1.05,0.3,131.568197420202,105,2.4,1.66,22402.3992485311,40.81,-30.36,17.0041666666667,0.3636,6.6006600660066,8.116402527,2.53195061016416,58,4.20736637305812,17.933130699087,160.7424,0.257057254339863,0.489043338907469,0.215757634575569,0.0381417721770983,239,279,0.3367,0.4222,0.14215,0.90105,0.050325,0.0976,0.027025,0.17495,5.69051167411823,3.32581967213115,4.25994449583719,4.15032866533295,0.515625,0.287653615318663,0.55787367819377,0.154472706487568,2.75,0.95,1.425,4.47676953136546,6.925,21.7555291261093,37.6642597995768,1.59484914554894,36.0694106540278,18.25,4.07660029673977,22.616189596799,0.9576561665081,0.0423438334919001
"BAS","H_angustifolius",35.1,24.6457732431236,674.9871806897,0.780221986343365,332.208110676675,31.5881552615942,-1.15985074592924,-24.3453040199794,15.83,44.263,0.102,0.665,36.5129500947568,0.5918,0.0578,9.23875432525952,0.0976681311253802,1.17,0.34,108.225452716618,132.5,3.78,0.48,17856.8037219497,39.39,-31.34,10.4206349206349,0.3677,10.2801196627686,7.932587854,2.83722503506561,41,4.21633233344245,19.0123456790138,145.5406,0.116619005281001,0.534420635891291,0.241447403679798,0.107512955147911,246,296,0.28745,0.2188,0.11025,0.6165,0.0305,0.0592,0.02315,0.11285,8.42459016393443,2.69594594594595,3.76241900647948,4.46300398759415,0.515202702702703,0.27027027027027,0.524590163934426,0.205139565795303,2.95,0.85,1,3.14159265358979,6.9,21.6769893097696,37.3928065593525,0.785398163397448,36.6074083959551,15.5,4.93380323584876,46.61,0.978996009241756,0.0210039907582441
"CRP","H_angustifolius",32.9,28.6948381525763,380.538804836919,1.23346960895194,345.302316005009,23.2635145157389,-1.57352802181964,-20.8674629777233,10.596,38.997,0.088,0.637,75.4058135145338,0.5406,0.0799,5.76595744680851,0.147798742138365,1.11,0.47,148.544739022809,231,1.94,0.81,19615.4023111814,40.49,-30.91,20.8711340206186,0.2645,7.33459357277883,8.476043765,2.01523886027158,48,2.671755725,15.2073732718908,178.2378,0.0891326082346169,0.61605619010109,0.233665361668513,0.0611458399957809,241,284,0.39015,0.67725,0.23485,1.30225,0.0511,0.15605,0.04105,0.2482,6.63502935420744,3.33995514258251,4.721071863581,4.24677679290895,0.327459147709068,0.205882352941176,0.628726833199033,0.165390813859791,3,0.9,1.6,5.02654824574367,7.6,23.8761041672824,45.3645979178366,2.01061929829747,43.3539786195391,13.5,2.68573966467573,21.5625,0.955678670360111,0.0443213296398892
