Species,SPAD,L_Aarea,L_Amass,L_Con,L_Ci,L_iWUE,L_NightRespArea,L_NightRespmass,LA,L_Peri,L_Circ,LS,LMA,L_FreshMass,L_DryMass,LWC,LDMC,L_MidribT,L_LaminaT,L_Tough,L_life,LN,LD15N,LPNUE,LC,LD13C,LCN,LP,Leaf_N_P,L_VeinD,L_T_activity,LTD,L_LipidC,L_AshC,WPTB,WPBMF,WPSMF,WPLMF,WPRMF,WPFB,WPFF,FPFM,FDFM,FRFM,FTFM,FPDM,FDDM,FRDM,FTDM,FPWC,FDWC,FRWC,FTWC,P_D,P_T,D_T,R_T,FRL,FRW,FDD,FDC,FTD,FTC,FTA,FDA,FPA,FRN,FPD,FAIR,FPAF,FDAF
H_angustifolius,30.4,41.02019699,537.657582,1.536975082,336.5093459,26.68891479,-1.127869051,-24.15824235,6.606,49.17,0.034,0.226,76.29427793,0.4341,0.0504,7.613095238,0.116102281,1.05,0.3,131.5681974,105,2.4,1.66,22402.39925,40.81,-30.36,17.00416667,0.3636,6.600660066,8.116402527,2.53195061,58,3.813514096,17.9331307,160.7424,0.257057254,0.489043339,0.215757635,0.038141772,239,279,0.3367,0.4222,0.14215,0.90105,0.050325,0.0976,0.027025,0.17495,5.690511674,3.325819672,4.259944496,4.150328665,0.515625,0.287653615,0.557873678,0.154472706,2.75,0.95,1.425,4.476769531,6.925,21.75552913,37.6642598,1.594849146,36.06941065,18.25,4.076600297,22.6161896,0.957656167,0.042343833
H_angustifolius,36.8,31.59948999,539.3255001,0.654181743,303.8748245,48.30383963,-1.0299085,-22.65656912,7.834,38.638,0.066,0.72,58.59075823,0.3624,0.0459,6.895424837,0.126655629,1.09,0.3,110.3475204,176.5,3.18,1.5,16959.92139,41.67,-30.49,13.10377358,0.3331,9.546682678,8.743759438,2.995198949,64.45382002,4.104794643,19.53642384,213.8263,0.199586767,0.560547977,0.199306633,0.040558622,243,288,0.39085,0.3477,0.1218,0.86035,0.05315,0.05885,0.0216,0.1336,6.353715898,4.908241291,4.638888889,5.439745509,0.903143585,0.397829341,0.440494012,0.161676647,3.15,0.85,1.2,3.769911184,7.5,23.5619449,44.17864669,1.130973355,43.04767334,17,4.509390054,38.0625,0.9744,0.0256
H_angustifolius,35.1,24.64577324,674.9871807,0.780221986,332.2081107,31.58815526,-1.099349012,-25.94589774,15.83,44.263,0.102,0.665,36.51295009,0.5918,0.0578,9.238754325,0.097668131,1.17,0.34,108.2254527,132.5,3.78,0.48,17856.80372,39.39,-31.34,10.42063492,0.3677,10.28011966,7.932587854,2.837225035,41,3.989707108,19.01234568,145.5406,0.116619005,0.534420636,0.241447404,0.107512955,246,296,0.28745,0.2188,0.11025,0.6165,0.0305,0.0592,0.02315,0.11285,8.424590164,2.695945946,3.762419006,4.463003988,0.515202703,0.27027027,0.524590164,0.205139566,2.95,0.85,1,3.141592654,6.9,21.67698931,37.39280656,0.785398163,36.6074084,15.5,4.933803236,46.61,0.978996009,0.021003991
H_angustifolius,40.9,34.24850289,603.7769523,1.088615566,329.9689634,31.4606037,-0.914309275,-16.11862771,19.498,54.222,0.083,0.461,56.72376654,0.9144,0.1106,7.267631103,0.120953631,1.14,0.44,112.4695881,218.5,2.81,0.98,21486.72428,39.8,-30.08,14.16370107,0.2497,11.25350421,7.368925048,1.282323452,87,3.389830508,17.01244813,187.6581,0.268253808,0.51552371,0.172225979,0.043996502,243,284,0.6963,0.671,0.21715,1.58445,0.1011,0.1481,0.0391,0.2883,5.887240356,3.530722485,4.55370844,4.495837669,0.68264686,0.350676379,0.513701006,0.135622615,3.1,1.15,1.75,5.497787144,7.95,24.9756616,49.63912742,2.405281875,47.23384555,20,3.637827271,19.63755102,0.951544638,0.048455362
H_angustifolius,39.1,34.58260037,730.6345343,1.12093938,331.0869897,30.85144565,-1.448338594,-30.59938185,17.768,47.15,0.1,0.413,47.33228276,0.7034,0.0841,7.363852556,0.119562127,1.14,0.3,120.9578589,135,4.26,0.37,17151.04541,41.95,-30.06,9.84741784,0.3883,10.97089879,8.083320671,1.247843783,92,5.529953917,13.74045802,276.971,0.238963646,0.555098187,0.156826888,0.049111279,243,299,0.283956985,0.400454002,0.151071508,0.835482495,0.042417909,0.08869411,0.029357987,0.160470006,5.677006097,3.58828799,4.151771169,4.218575229,0.493756903,0.263590666,0.553150917,0.183258415,2.749792007,0.826747463,1.304544831,4.098348458,6.804128845,21.37580119,37.60246908,1.380186827,36.22228225,14.69004804,3.670416491,27.77824107,0.960877212,0.039122787
H_angustifolius,41.3,28.73362396,630.1119214,1.083509721,339.0840271,26.51902739,-0.98223084,-21.50058022,16.469,48.706,0.087,0.322,45.60082579,0.7452,0.0751,8.92276964,0.100778315,1.24,0.44,123.0799266,161.5,3.13,1.12,20131.37129,38.61,-31.55,12.33546326,0.2559,12.23134037,7.967978255,1.342850169,74,3.773827134,18.85964912,200.9347,0.069475307,0.667679599,0.178515707,0.084329387,246,296,0.292812288,0.391462719,0.152022495,0.836297501,0.043631167,0.086665672,0.029261153,0.159731658,5.721389369,3.550107993,4.226358052,4.247617549,0.511619794,0.270425366,0.547961157,0.181613475,2.8178884,0.837141157,1.290660664,4.054730062,6.926437465,21.76004505,38.80419859,1.345723842,37.45847475,14.46881797,3.641432606,29.55269873,0.962996376,0.037003623
H_angustifolius,43.2,34.87479336,740.5638113,1.209323606,325.9698403,28.83826396,-1.124734895,-24.75962857,27.478,61.929,0.09,0.319,47.09221923,1.3605,0.1294,9.513910355,0.095112091,1.25,0.52,110.3475204,147.5,4.56,-0.3,16240.43446,37.78,-30.37,8.285087719,0.2756,16.54571843,7.771093756,0.580513048,62,3.49355662,18.6440678,185.455,0.156724812,0.606039201,0.201426761,0.035809226,248,290,0.5471,0.48385,0.1979,1.22885,0.0658,0.11825,0.036,0.22005,7.314589666,3.091754757,4.497222222,4.584412633,0.556448203,0.299022949,0.537377869,0.163599182,3.6,1,1.4,4.398229715,8.6,27.01769682,58.08804816,1.5393804,56.54866776,17.5,3.978873577,36.73469388,0.973499189,0.026500811
H_angustifolius,33.8,28.61360819,464.4969883,1.092070043,337.764512,26.2012573,-0.957082604,-21.24424271,11.266,40.537,0.086,0.614,61.60127818,0.5263,0.0694,6.583573487,0.131863956,1.13,0.46,131.5681974,74.5,3.04,1.23,15279.50619,41.67,-29.87,13.70723684,0.2683,11.33060007,7.664712147,1.784117097,126,4.063699332,14.71264368,271.836,0.108234377,0.670214026,0.178146015,0.043405583,248,310,0.24665,0.44555,0.1952,0.8874,0.0514,0.1007,0.0409,0.193,3.798638132,3.424528302,3.772616137,3.597927461,0.510427011,0.266321244,0.521761658,0.211917098,2.65,0.75,1.25,3.926990817,6.55,20.57743188,33.69554471,1.22718463,32.46836007,17,4.329014452,26.4576,0.963580211,0.036419789
H_angustifolius,32,25.34366078,542.879258,1.211574771,350.5423746,20.91795025,-0.758686556,-16.25160619,13.238,46.078,0.078,0.405,46.68378909,0.5462,0.0618,7.838187702,0.113145368,0.73,0.44,101.8592496,80,2.77,3.33,19598.52917,39.65,-31.14,14.31407942,0.2874,9.638135003,7.550562969,1.66969869,56,2.33463035,17.71428571,210.3234,0.250758594,0.542740846,0.159409747,0.047090813,243,284,0.0797,0.37625,0.0963,0.55225,0.01235,0.08555,0.0179,0.1158,5.453441296,3.398012858,4.379888268,3.768998273,0.144360023,0.106649396,0.738773748,0.154576857,1.6,0.35,1.35,4.241150082,4.55,14.29424657,16.25970548,1.431388153,14.82831732,12,2.829421211,10.35939643,0.911967154,0.088032846
H_angustifolius,36.6,29.38014139,525.2687231,1.241517836,342.8361908,23.66469538,-0.270049273,-4.828037918,12.64,37.653,0.112,0.889,55.9335443,0.5248,0.0707,6.42291372,0.134717988,1.08,0.25,157.0330098,72.5,2.48,2.01,21180.19045,41.2,-29.95,16.61290323,0.1749,14.17953116,7.176474706,4.53044345,104,2.978723404,22.22222222,187.3917,0.254608929,0.498366256,0.204162724,0.04286209,239,284,0.1535,0.2973,0.0983,0.5491,0.02465,0.07265,0.01915,0.11645,5.227180527,3.092222987,4.133159269,3.715328467,0.339298004,0.211678832,0.623872907,0.164448261,2.05,0.7,1.3,4.08407045,5.4,16.96460033,22.90221044,1.327322896,21.57488755,13,3.183098862,16.25443787,0.942043896,0.057956104
